Date,Tray,SeedID,Geno_Cross,Total_Area(cm),germ_date
2/6/2016,3,2C41,C - Ws/Ler,2.343,1/26/2016
2/6/2016,3,2D11,D - Ler/ Ws,0,1/26/2016
2/6/2016,3,2B61,B - Col/ Ws,0,1/26/2016
2/6/2016,3,2G11,G - Ler/Col,1.989,1/26/2016
2/6/2016,3,2A31,A - Ws/Col,2.258,1/26/2016
2/6/2016,3,2F61,F - Col/Ler,1.89,1/26/2016
2/6/2016,3,2B21,B - Col/ Ws,1.892,1/26/2016
2/6/2016,3,2D41,D - Ler/ Ws,0.296,1/26/2016
2/6/2016,3,2D51,D - Ler/ Ws,0.589,1/26/2016
2/6/2016,3,2A21,A - Ws/Col,0,1/26/2016
2/6/2016,3,2G51,G - Ler/Col,2.153,1/26/2016
2/6/2016,3,2B41,B - Col/ Ws,1.5,1/26/2016
2/6/2016,3,2F21,F - Col/Ler,2.05,1/26/2016
2/6/2016,3,2G41,G - Ler/Col,2.142,1/26/2016
2/6/2016,3,2B11,B - Col/ Ws,2.251,1/26/2016
2/6/2016,3,2F31,F - Col/Ler,1.624,1/26/2016
2/6/2016,3,2C21,C - Ws/Ler,3.304,1/26/2016
2/6/2016,3,2G21,G - Ler/Col,0,1/26/2016
2/6/2016,3,2C61,C - Ws/Ler,2.266,1/26/2016
2/6/2016,3,2A11,A - Ws/Col,0,1/26/2016
2/6/2016,3,2B51,B - Col/ Ws,1.727,1/26/2016
2/6/2016,3,2C51,C - Ws/Ler,2.248,1/26/2016
2/6/2016,3,2G61,G - Ler/Col,1.943,1/26/2016
2/8/2016,3,2D31,D - Ler/ Ws,0,1/26/2016
2/8/2016,3,2D61,D - Ler/ Ws,0,1/26/2016
2/8/2016,3,2C31,C - Ws/Ler,1.538,1/26/2016
2/8/2016,3,2A51,A - Ws/Col,0,1/26/2016
2/8/2016,3,2A41,A - Ws/Col,2.119,1/26/2016
2/8/2016,3,2A61,A - Ws/Col,2.29,1/26/2016
2/8/2016,3,2G31,G - Ler/Col,1.91,1/26/2016
2/8/2016,3,2F41,F - Col/Ler,0.966,1/26/2016
2/8/2016,3,2B31,B - Col/ Ws,0.202,1/26/2016
2/8/2016,3,2C11,C - Ws/Ler,0.59,1/26/2016
2/8/2016,3,2F11,F - Col/Ler,1.679,1/26/2016
2/8/2016,3,2F51,F - Col/Ler,1.544,1/26/2016
2/8/2016,3,2D21,D - Ler/ Ws,0,1/26/2016
2/8/2016,3,2C41,C - Ws/Ler,2.628,1/26/2016
2/8/2016,3,2D11,D - Ler/ Ws,0,1/26/2016
2/8/2016,3,2B61,B - Col/ Ws,0,1/26/2016
2/8/2016,3,2G11,G - Ler/Col,2.209,1/26/2016
2/8/2016,3,2A31,A - Ws/Col,2.54,1/26/2016
2/8/2016,3,2F61,F - Col/Ler,1.986,1/26/2016
2/8/2016,3,2B21,B - Col/ Ws,1.811,1/26/2016
2/8/2016,3,2D41,D - Ler/ Ws,0.447,1/26/2016
2/8/2016,3,2D51,D - Ler/ Ws,0.615,1/26/2016
2/8/2016,3,2A21,A - Ws/Col,0,1/26/2016
2/8/2016,3,2G51,G - Ler/Col,2.36,1/26/2016
2/8/2016,3,2B41,B - Col/ Ws,1.846,1/26/2016
2/8/2016,3,2F21,F - Col/Ler,2.253,1/26/2016
2/8/2016,3,2G41,G - Ler/Col,1.985,1/26/2016
2/8/2016,3,2B11,B - Col/ Ws,2.263,1/26/2016
2/8/2016,3,2F31,F - Col/Ler,2.128,1/26/2016
2/8/2016,3,2C21,C - Ws/Ler,2.371,1/26/2016
2/8/2016,3,2G21,G - Ler/Col,0,1/26/2016
2/8/2016,3,2C61,C - Ws/Ler,2.492,1/26/2016
2/8/2016,3,2A11,A - Ws/Col,0,1/26/2016
2/8/2016,3,2B51,B - Col/ Ws,1.903,1/26/2016
2/8/2016,3,2C51,C - Ws/Ler,1.551,1/26/2016
2/8/2016,3,2G61,G - Ler/Col,2.276,1/26/2016
2/10/2016,3,2D31,D - Ler/ Ws,0,1/26/2016
2/10/2016,3,2D61,D - Ler/ Ws,0,1/26/2016
2/10/2016,3,2C31,C - Ws/Ler,2.974,1/26/2016
2/10/2016,3,2A51,A - Ws/Col,0,1/26/2016
2/10/2016,3,2A41,A - Ws/Col,3.292,1/26/2016
2/10/2016,3,2A61,A - Ws/Col,3.744,1/26/2016
2/10/2016,3,2G31,G - Ler/Col,3.249,1/26/2016
2/10/2016,3,2F41,F - Col/Ler,1.752,1/26/2016
2/10/2016,3,2B31,B - Col/ Ws,0.316,1/26/2016
2/10/2016,3,2C11,C - Ws/Ler,0.845,1/26/2016
2/10/2016,3,2F11,F - Col/Ler,1.718,1/26/2016
2/10/2016,3,2F51,F - Col/Ler,2.561,1/26/2016
2/10/2016,3,2D21,D - Ler/ Ws,0,1/26/2016
2/10/2016,3,2C41,C - Ws/Ler,4.05,1/26/2016
2/10/2016,3,2D11,D - Ler/ Ws,0,1/26/2016
2/10/2016,3,2B61,B - Col/ Ws,0,1/26/2016
2/10/2016,3,2G11,G - Ler/Col,3.749,1/26/2016
2/10/2016,3,2A31,A - Ws/Col,4.05,1/26/2016
2/10/2016,3,2F61,F - Col/Ler,3.18,1/26/2016
2/10/2016,3,2B21,B - Col/ Ws,2.946,1/26/2016
2/10/2016,3,2D41,D - Ler/ Ws,0.755,1/26/2016
2/10/2016,3,2D51,D - Ler/ Ws,0.942,1/26/2016
2/10/2016,3,2A21,A - Ws/Col,0,1/26/2016
2/10/2016,3,2G51,G - Ler/Col,3.748,1/26/2016
2/10/2016,3,2B41,B - Col/ Ws,3.018,1/26/2016
2/10/2016,3,2F21,F - Col/Ler,3.556,1/26/2016
2/10/2016,3,2G41,G - Ler/Col,3.19,1/26/2016
2/10/2016,3,2B11,B - Col/ Ws,3.73,1/26/2016
2/10/2016,3,2F31,F - Col/Ler,3.538,1/26/2016
2/10/2016,3,2C21,C - Ws/Ler,3.733,1/26/2016
2/10/2016,3,2G21,G - Ler/Col,0,1/26/2016
2/10/2016,3,2C61,C - Ws/Ler,4.594,1/26/2016
2/10/2016,3,2A11,A - Ws/Col,0,1/26/2016
2/10/2016,3,2B51,B - Col/ Ws,3.29,1/26/2016
